Data;Total de casos;Casos por dia;Óbitos por dia
26/fev/20;1;1;
27/fev/20;0;0;
28/fev/20;0;0;
29/fev/20;2;1;
01/mar/20;0;0;
02/mar/20;0;0;
03/mar/20;0;0;
04/mar/20;3;1;
05/mar/20;6;3;
06/mar/20;10;4;
07/mar/20;13;3;
08/mar/20;16;3;
09/mar/20;16;0;
10/mar/20;19;3;
11/mar/20;30;11;
12/mar/20;46;16;
13/mar/20;56;10;
14/mar/20;65;9;
15/mar/20;136;71;
16/mar/20;152;16;
17/mar/20;164;12;1
18/mar/20;240;76;3
19/mar/20;286;46;1
20/mar/20;396;110;4
21/mar/20;459;63;6
22/mar/20;631;172;7
23/mar/20;745;114;8
24/mar/20;810;65;10
25/mar/20;862;52;8
26/mar/20;1052;190;10
27/mar/20;1223;171;10
28/mar/20;1406;183;16
29/mar/20;1451;45;14
30/mar/20;1517;66;15
31/mar/20;2339;822;23
01/abr/20;2981;642;28
02/abr/20;3506;525;44
03/abr/20;4048;542;11
04/abr/20;4466;418;41
05/abr/20;4620;154;15
06/abr/20;4861;241;29
07/abr/20;5682;821;67
08/abr/20;6708;1026;57
09/abr/20;7480;772;68
10/abr/20;8216;736;44
11/abr/20;8419;203;20
12/abr/20;8755;336;28
13/abr/20;8895;140;20
14/abr/20;9371;476;87
15/abr/20;11043;1672;83
16/abr/20;11568;525;75
17/abr/20;12841;1273;75
18/abr/20;13894;1053;63
19/abr/20;14267;373;24
20/abr/20;14580;313;22
21/abr/20;15385;805;56
22/abr/20;15914;529;41
23/abr/20;16740;826;211
24/abr/20;17826;1086;167
25/abr/20;20004;2178;155
26/abr/20;20715;711;33
27/abr/20;21696;981;125
28/abr/20;24041;2345;224
29/abr/20;26158;2117;198
30/abr/20;28698;2540;128
01/mai/20;30374;1676;136
02/mai/20;31174;800;75
03/mai/20;31772;598;41
04/mai/20;32187;415;27
05/mai/20;34053;1866;197
06/mai/20;37853;3800;194
07/mai/20;39928;2075;161
08/mai/20;41830;1902;210
09/mai/20;44411;2581;192
10/mai/20;45444;1033;101
11/mai/20;46131;687;34
12/mai/20;47719;1588;206
13/mai/20;51097;3378;169
14/mai/20;54286;3189;197
15/mai/20;58378;4092;186
16/mai/20;61183;2805;187
17/mai/20;62345;1162;94
18/mai/20;63066;721;41
19/mai/20;65995;2929;324
